PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;102;81;28079102_81_98;2021;07;11;02.58;V;01.95;V;02.27;V;02.52;V;02.48;V;02.48;V;02.58;V;02.87;V;02.15;V;02.02;V;01.52;V;00.82;V;01.10;V;01.33;V;02.43;V;03.45;V;04.93;V;05.02;V;04.27;V;03.55;V;05.02;V;04.77;V;04.45;V;03.75;V
28;079;102;81;28079102_81_98;2021;07;12;03.55;V;02.87;V;02.20;V;02.45;V;03.10;V;03.08;V;02.70;V;02.78;V;02.38;V;02.62;V;03.17;V;03.08;V;04.18;V;03.77;V;05.05;V;05.13;V;04.68;V;04.92;V;04.68;V;04.68;V;04.30;V;03.65;V;03.97;V;03.43;V
28;079;102;81;28079102_81_98;2021;07;13;03.12;V;02.43;V;02.88;V;03.55;V;04.23;V;03.65;V;03.42;V;03.17;V;02.58;V;02.45;V;01.50;V;01.33;V;01.63;V;01.50;V;01.33;V;01.50;V;01.77;V;01.58;V;01.58;V;01.08;V;02.25;V;02.70;V;03.43;V;02.97;V
28;079;102;81;28079102_81_98;2021;07;14;02.83;V;03.20;V;03.72;V;03.13;V;02.15;V;02.08;V;02.03;V;02.80;V;02.82;V;02.98;V;03.05;V;02.37;V;02.03;V;01.68;V;01.68;V;01.20;V;02.00;V;01.72;V;01.87;V;00.80;V;00.78;V;01.72;V;01.50;V;02.48;V
28;079;102;81;28079102_81_98;2021;07;15;04.53;V;04.33;V;04.70;V;03.87;V;03.32;V;02.38;V;01.50;V;02.88;V;02.78;V;03.43;V;02.90;V;02.60;V;02.75;V;02.12;V;01.57;V;01.23;V;01.15;V;01.48;V;01.20;V;00.95;V;00.85;V;00.78;V;00.38;V;00.55;V
28;079;102;81;28079102_81_98;2021;07;16;01.27;V;02.28;V;02.08;V;02.82;V;02.10;V;02.15;V;01.88;V;01.97;V;01.75;V;02.02;V;01.45;V;01.10;V;00.92;V;01.42;V;01.68;V;01.37;V;01.22;V;01.48;V;01.03;V;01.50;V;01.30;V;01.23;V;00.82;V;02.10;V
28;079;102;81;28079102_81_98;2021;07;17;02.58;V;03.67;V;03.63;V;02.57;V;01.73;V;01.90;V;01.77;V;02.32;V;02.12;V;01.55;V;01.08;V;00.77;V;01.13;V;01.08;V;01.43;V;01.77;V;02.43;V;02.27;V;02.10;V;01.78;V;01.63;V;01.35;V;02.65;V;02.80;V
28;079;102;81;28079102_81_98;2021;07;18;02.97;V;02.57;V;02.20;V;01.82;V;02.68;V;02.37;V;02.50;V;02.57;V;01.80;V;01.40;V;00.48;V;00.72;V;01.10;V;01.58;V;02.12;V;02.33;V;01.80;V;02.20;V;02.47;V;02.63;V;02.50;V;02.90;V;02.27;V;03.22;V
28;079;102;81;28079102_81_98;2021;07;19;02.65;V;02.40;V;02.70;V;02.72;V;01.55;V;01.63;V;02.28;V;02.78;V;02.27;V;02.22;V;01.15;V;00.85;V;01.15;V;01.63;V;01.58;V;02.50;V;02.72;V;03.02;V;02.50;V;02.45;V;02.57;V;01.98;V;01.03;V;01.37;V
28;079;102;81;28079102_81_98;2021;07;20;01.55;V;01.67;V;01.12;V;00.70;V;01.58;V;00.85;V;01.47;V;01.62;V;01.67;V;01.15;V;00.95;V;00.90;V;01.58;V;02.28;V;02.73;V;03.20;V;03.15;V;02.65;V;02.82;V;02.75;V;02.28;V;01.35;V;01.43;V;01.95;V
28;079;102;81;28079102_81_98;2021;07;21;01.78;V;01.90;V;01.15;V;01.90;V;00.88;V;01.70;V;03.07;V;03.08;V;02.92;V;02.68;V;02.52;V;02.38;V;01.82;V;02.00;V;01.87;V;01.80;V;02.47;V;02.22;V;02.70;V;02.03;V;02.08;V;01.30;V;00.80;V;00.68;V
28;079;102;81;28079102_81_98;2021;07;22;01.55;V;02.83;V;02.42;V;02.53;V;00.88;V;01.60;V;02.03;V;02.03;V;02.12;V;01.90;V;01.43;V;01.42;V;01.72;V;02.13;V;03.27;V;03.30;V;03.18;V;03.15;V;02.50;V;02.47;V;02.52;V;02.07;V;01.88;V;01.22;V
28;079;102;81;28079102_81_98;2021;07;23;00.25;V;01.00;V;01.30;V;01.05;V;01.28;V;01.55;V;01.12;V;00.77;V;01.40;V;01.42;V;01.53;V;02.55;V;03.52;V;04.18;V;04.90;V;05.17;V;04.65;V;03.85;V;03.78;V;03.73;V;03.45;V;03.58;V;03.32;V;02.75;V
28;079;102;81;28079102_81_98;2021;07;24;02.22;V;01.22;V;01.45;V;01.93;V;02.30;V;01.92;V;01.87;V;00.90;V;00.70;V;01.65;V;01.05;V;01.08;V;01.77;V;01.63;V;02.50;V;02.85;V;02.93;V;02.97;V;02.50;V;02.63;V;03.00;V;02.62;V;02.35;V;01.73;V
28;079;102;81;28079102_81_98;2021;07;25;00.30;V;00.62;V;01.07;V;00.82;V;00.97;V;00.35;V;00.92;V;01.13;V;00.65;V;01.08;V;00.95;V;00.88;V;01.27;V;01.62;V;02.18;V;01.78;V;02.42;V;02.75;V;02.92;V;02.78;V;02.58;V;03.18;V;03.40;V;03.65;V
28;079;102;81;28079102_81_98;2021;07;26;02.82;V;03.33;V;01.90;V;01.53;V;00.77;V;01.28;V;01.78;V;01.45;V;01.58;V;03.15;V;02.83;V;02.18;V;01.67;V;01.53;V;01.52;V;01.90;V;02.03;V;01.13;V;01.28;V;01.20;V;00.80;V;01.05;V;01.05;V;01.08;V
28;079;102;81;28079102_81_98;2021;07;27;01.38;V;00.75;V;02.43;V;02.35;V;01.93;V;00.85;V;01.63;V;01.80;V;02.50;V;02.48;V;01.63;V;01.50;V;01.45;V;01.77;V;02.85;V;03.40;V;03.37;V;03.62;V;03.40;V;03.25;V;02.47;V;02.27;V;01.83;V;01.80;V
28;079;102;81;28079102_81_98;2021;07;28;01.50;V;01.28;V;01.38;V;00.55;V;00.98;V;00.77;V;01.77;V;02.53;V;03.22;V;02.23;V;01.60;V;01.05;V;01.37;V;02.05;V;03.82;V;03.02;V;02.55;V;02.73;V;03.03;V;02.73;V;02.42;V;01.97;V;01.37;V;01.77;V
28;079;102;81;28079102_81_98;2021;07;29;01.48;V;03.38;V;02.63;V;03.20;V;01.95;V;02.37;V;02.03;V;02.77;V;02.65;V;02.75;V;02.00;V;01.45;V;01.03;V;01.65;V;02.63;V;03.02;V;03.28;V;03.22;V;03.08;V;02.93;V;02.87;V;02.62;V;02.52;V;02.33;V
28;079;102;81;28079102_81_98;2021;07;30;01.40;V;01.25;V;01.28;V;01.95;V;02.18;V;01.72;V;01.93;V;01.67;V;01.43;V;02.12;V;03.05;V;03.23;V;02.90;V;02.45;V;02.38;V;03.10;V;03.30;V;03.40;V;03.28;V;03.55;V;03.78;V;03.53;V;03.15;V;03.18;V
28;079;102;81;28079102_81_98;2021;07;31;02.18;V;01.98;V;02.35;V;03.22;V;02.07;V;02.38;V;02.07;V;02.22;V;01.60;V;01.47;V;03.05;V;03.02;V;02.18;V;02.37;V;03.22;V;04.30;V;03.38;V;01.90;V;03.50;V;02.50;V;02.73;V;03.38;V;02.85;V;02.17;V
28;079;102;82;28079102_82_98;2021;07;01;00275;V;00304;V;00043;V;00069;V;00150;V;00148;V;00186;V;00145;V;00121;V;00109;V;00088;V;00115;V;00198;V;00256;V;00244;V;00227;V;00241;V;00223;V;00254;V;00251;V;00244;V;00262;V;00270;V;00265;V
28;079;102;82;28079102_82_98;2021;07;02;00279;V;00287;V;00271;V;00137;V;00124;V;00127;V;00006;V;00080;V;00065;V;00156;V;00163;V;00245;V;00218;V;00232;V;00241;V;00238;V;00241;V;00242;V;00233;V;00244;V;00245;V;00268;V;00268;V;00252;V
28;079;102;82;28079102_82_98;2021;07;03;00267;V;00286;V;00266;V;00269;V;00256;V;00277;V;00271;V;00251;V;00112;V;00120;V;00203;V;00232;V;00225;V;00232;V;00210;V;00226;V;00253;V;00235;V;00245;V;00252;V;00258;V;00242;V;00241;V;00260;V
28;079;102;82;28079102_82_98;2021;07;04;00249;V;00245;V;00245;V;00241;V;00270;V;00225;V;00222;V;00232;V;00258;V;00268;V;00229;V;00237;V;00258;V;00231;V;00261;V;00254;V;00186;V;00180;V;00258;V;00234;V;00230;V;00226;V;00242;V;00290;V
28;079;102;82;28079102_82_98;2021;07;05;00284;V;00298;V;00296;V;00075;V;00082;V;00103;V;00158;V;00214;V;00263;V;00226;V;00149;V;00232;V;00223;V;00242;V;00221;V;00240;V;00250;V;00231;V;00238;V;00238;V;00248;V;00243;V;00275;V;00273;V
28;079;102;82;28079102_82_98;2021;07;06;00232;V;00272;V;00246;V;00241;V;00247;V;00247;V;00230;V;00253;V;00245;V;00248;V;00262;V;00228;V;00246;V;00244;V;00233;V;00230;V;00229;V;00249;V;00251;V;00266;V;00254;V;00244;V;00243;V;00253;V
28;079;102;82;28079102_82_98;2021;07;07;00247;V;00232;V;00266;V;00289;V;00001;V;00060;V;00068;V;00044;V;00013;V;00026;V;00098;V;00066;V;00262;V;00171;V;00154;V;00228;V;00255;V;00231;V;00271;V;00266;V;00286;V;00295;V;00352;V;00002;V
28;079;102;82;28079102_82_98;2021;07;08;00013;V;00006;V;00077;V;00055;V;00077;V;00049;V;00045;V;00079;V;00054;V;00056;V;00075;V;00068;V;00023;V;00032;V;00003;V;00051;V;00009;V;00015;V;00022;V;00061;V;00062;V;00119;V;00088;V;00075;V
28;079;102;82;28079102_82_98;2021;07;09;00016;V;00049;V;00067;V;00071;V;00051;V;00024;V;00013;V;00029;V;00066;V;00075;V;00069;V;00093;V;00073;V;00059;V;00090;V;00141;V;00129;V;00040;V;00136;V;00119;V;00234;V;00253;V;00283;V;00009;V
28;079;102;82;28079102_82_98;2021;07;10;00176;V;00158;V;00176;V;00158;V;00093;V;00038;V;00040;V;00075;V;00056;V;00084;V;00088;V;00064;V;00063;V;00121;V;00217;V;00227;V;00241;V;00232;V;00252;V;00239;V;00263;V;00269;V;00263;V;00046;V
28;079;102;82;28079102_82_98;2021;07;11;00043;V;00044;V;00056;V;00058;V;00030;V;00042;V;00032;V;00002;V;00009;V;00054;V;00027;V;00040;V;00041;V;00212;V;00221;V;00249;V;00234;V;00237;V;00275;V;00249;V;00247;V;00246;V;00235;V;00253;V
28;079;102;82;28079102_82_98;2021;07;12;00244;V;00252;V;00270;V;00280;V;00265;V;00265;V;00262;V;00253;V;00265;V;00257;V;00240;V;00265;V;00273;V;00276;V;00285;V;00274;V;00304;V;00286;V;00287;V;00283;V;00290;V;00301;V;00302;V;00318;V
28;079;102;82;28079102_82_98;2021;07;13;00341;V;00006;V;00008;V;00063;V;00064;V;00069;V;00080;V;00039;V;00071;V;00063;V;00047;V;00045;V;00039;V;00157;V;00136;V;00033;V;00068;V;00066;V;00050;V;00038;V;00019;V;00060;V;00072;V;00084;V
28;079;102;82;28079102_82_98;2021;07;14;00058;V;00065;V;00069;V;00058;V;00071;V;00048;V;00054;V;00052;V;00064;V;00066;V;00063;V;00046;V;00067;V;00017;V;00031;V;00025;V;00047;V;00010;V;00030;V;00032;V;00118;V;00165;V;00088;V;00046;V
28;079;102;82;28079102_82_98;2021;07;15;00059;V;00065;V;00052;V;00059;V;00052;V;00054;V;00013;V;00042;V;00049;V;00056;V;00042;V;00073;V;00077;V;00086;V;00020;V;00024;V;00000;V;00183;V;00098;V;00069;V;00015;V;00155;V;00103;V;00088;V
28;079;102;82;28079102_82_98;2021;07;16;00046;V;00042;V;00027;V;00057;V;00062;V;00051;V;00058;V;00052;V;00035;V;00061;V;00076;V;00033;V;00074;V;00175;V;00220;V;00025;V;00238;V;00029;V;00031;V;00121;V;00142;V;00142;V;00170;V;00054;V
28;079;102;82;28079102_82_98;2021;07;17;00045;V;00062;V;00061;V;00050;V;00058;V;00036;V;00060;V;00067;V;00063;V;00052;V;00005;V;00077;V;00039;V;00079;V;00131;V;00097;V;00198;V;00204;V;00096;V;00191;V;00243;V;00010;V;00018;V;00076;V
28;079;102;82;28079102_82_98;2021;07;18;00036;V;00028;V;00050;V;00068;V;00055;V;00063;V;00035;V;00053;V;00039;V;00056;V;00031;V;00004;V;00040;V;00018;V;00090;V;00027;V;00001;V;00010;V;00017;V;00323;V;00008;V;00357;V;00018;V;00021;V
28;079;102;82;28079102_82_98;2021;07;19;00043;V;00082;V;00066;V;00071;V;00032;V;00039;V;00013;V;00017;V;00020;V;00068;V;00041;V;00035;V;00001;V;00248;V;00032;V;00236;V;00215;V;00268;V;00026;V;00324;V;00303;V;00342;V;00001;V;00002;V
28;079;102;82;28079102_82_98;2021;07;20;00010;V;00066;V;00050;V;00098;V;00035;V;00014;V;00060;V;00042;V;00086;V;00065;V;00083;V;00299;V;00258;V;00244;V;00253;V;00239;V;00231;V;00230;V;00240;V;00244;V;00255;V;00273;V;00280;V;00280;V
28;079;102;82;28079102_82_98;2021;07;21;00275;V;00021;V;00038;V;00059;V;00030;V;00010;V;00072;V;00068;V;00079;V;00078;V;00096;V;00120;V;00081;V;00098;V;00168;V;00190;V;00154;V;00176;V;00133;V;00153;V;00158;V;00154;V;00091;V;00097;V
28;079;102;82;28079102_82_98;2021;07;22;00018;V;00090;V;00143;V;00133;V;00067;V;00059;V;00093;V;00083;V;00081;V;00078;V;00044;V;00044;V;00086;V;00189;V;00201;V;00194;V;00190;V;00188;V;00216;V;00172;V;00249;V;00255;V;00264;V;00276;V
28;079;102;82;28079102_82_98;2021;07;23;00245;V;00102;V;00126;V;00104;V;00143;V;00143;V;00150;V;00147;V;00133;V;00151;V;00202;V;00231;V;00225;V;00231;V;00246;V;00235;V;00215;V;00233;V;00240;V;00248;V;00252;V;00251;V;00241;V;00255;V
28;079;102;82;28079102_82_98;2021;07;24;00281;V;00292;V;00276;V;00267;V;00273;V;00261;V;00273;V;00002;V;00069;V;00082;V;00064;V;00222;V;00209;V;00219;V;00242;V;00226;V;00223;V;00235;V;00217;V;00004;V;00302;V;00280;V;00279;V;00269;V
28;079;102;82;28079102_82_98;2021;07;25;00017;V;00056;V;00068;V;00070;V;00017;V;00049;V;00066;V;00049;V;00008;V;00007;V;00011;V;00018;V;00263;V;00201;V;00218;V;00112;V;00262;V;00156;V;00258;V;00283;V;00309;V;00321;V;00335;V;00285;V
28;079;102;82;28079102_82_98;2021;07;26;00074;V;00064;V;00034;V;00003;V;00031;V;00004;V;00000;V;00027;V;00067;V;00065;V;00070;V;00044;V;00060;V;00005;V;00042;V;00008;V;00060;V;00016;V;00182;V;00236;V;00180;V;00182;V;00181;V;00176;V
28;079;102;82;28079102_82_98;2021;07;27;00241;V;00125;V;00115;V;00161;V;00124;V;00111;V;00086;V;00078;V;00087;V;00118;V;00083;V;00068;V;00158;V;00230;V;00196;V;00233;V;00242;V;00252;V;00213;V;00248;V;00261;V;00254;V;00219;V;00244;V
28;079;102;82;28079102_82_98;2021;07;28;00270;V;00015;V;00037;V;00011;V;00054;V;00017;V;00066;V;00059;V;00073;V;00076;V;00079;V;00082;V;00117;V;00173;V;00215;V;00191;V;00192;V;00273;V;00247;V;00240;V;00253;V;00261;V;00264;V;00271;V
28;079;102;82;28079102_82_98;2021;07;29;00126;V;00138;V;00141;V;00121;V;00106;V;00095;V;00086;V;00099;V;00115;V;00087;V;00099;V;00102;V;00122;V;00203;V;00186;V;00232;V;00232;V;00216;V;00204;V;00259;V;00270;V;00252;V;00276;V;00268;V
28;079;102;82;28079102_82_98;2021;07;30;00276;V;00278;V;00252;V;00241;V;00233;V;00245;V;00247;V;00242;V;00219;V;00238;V;00244;V;00246;V;00240;V;00201;V;00246;V;00239;V;00229;V;00255;V;00224;V;00216;V;00239;V;00244;V;00263;V;00261;V
28;079;102;82;28079102_82_98;2021;07;31;00262;V;00267;V;00259;V;00272;V;00264;V;00260;V;00262;V;00273;V;00226;V;00237;V;00262;V;00245;V;00241;V;00239;V;00252;V;00265;V;00068;V;00011;V;00293;V;00012;V;00001;V;00042;V;00066;V;00049;V
28;079;102;83;28079102_83_98;2021;07;01;023.5;V;022.7;V;022.1;V;020.0;V;019.1;V;017.7;V;016.8;V;017.0;V;018.0;V;019.3;V;021.5;V;023.2;V;025.0;V;026.1;V;027.2;V;027.9;V;028.4;V;028.8;V;029.1;V;029.0;V;028.7;V;027.7;V;026.1;V;024.9;V
28;079;102;83;28079102_83_98;2021;07;02;023.7;V;023.0;V;022.6;V;021.8;V;020.1;V;019.4;V;019.2;V;018.4;V;020.4;V;020.5;V;023.3;V;024.9;V;025.9;V;027.1;V;028.0;V;028.6;V;029.2;V;029.4;V;029.4;V;029.4;V;029.0;V;027.8;V;026.4;V;025.2;V
28;079;102;83;28079102_83_98;2021;07;03;024.0;V;023.4;V;022.6;V;021.4;V;020.7;V;020.0;V;019.1;V;019.8;V;021.0;V;020.9;V;021.6;V;022.6;V;023.9;V;025.5;V;026.5;V;027.0;V;027.5;V;027.8;V;027.6;V;027.1;V;026.3;V;025.1;V;023.9;V;023.0;V
28;079;102;83;28079102_83_98;2021;07;04;022.3;V;021.3;V;020.8;V;020.0;V;019.1;V;018.3;V;017.5;V;017.3;V;018.0;V;019.2;V;020.4;V;021.6;V;022.8;V;024.5;V;025.4;V;026.5;V;026.8;V;027.1;V;027.7;V;027.5;V;027.2;V;026.2;V;024.8;V;023.9;V
28;079;102;83;28079102_83_98;2021;07;05;022.8;V;021.8;V;021.1;V;021.1;V;020.0;V;019.6;V;019.3;V;019.8;V;021.8;V;021.8;V;022.0;V;023.4;V;024.4;V;025.6;V;027.0;V;028.3;V;028.9;V;029.2;V;028.9;V;028.7;V;027.9;V;026.8;V;025.4;V;024.2;V
28;079;102;83;28079102_83_98;2021;07;06;023.1;V;022.1;V;021.4;V;020.3;V;018.9;V;017.6;V;016.8;V;016.4;V;016.2;V;016.1;V;016.4;V;017.6;V;018.1;V;018.0;V;017.8;V;017.4;V;016.5;V;017.3;V;017.7;V;016.7;V;016.6;V;016.5;V;016.3;V;015.9;V
28;079;102;83;28079102_83_98;2021;07;07;015.4;V;014.3;V;014.1;V;013.6;V;013.3;V;012.2;V;011.7;V;012.0;V;015.5;V;016.0;V;017.2;V;018.2;V;019.1;V;019.8;V;020.7;V;022.1;V;022.2;V;022.1;V;022.1;V;021.8;V;021.5;V;020.5;V;019.2;V;018.1;V
28;079;102;83;28079102_83_98;2021;07;08;017.4;V;016.5;V;015.5;V;014.0;V;013.3;V;012.6;V;012.1;V;012.0;V;012.6;V;013.8;V;015.7;V;017.6;V;019.4;V;020.6;V;022.0;V;023.3;V;024.5;V;025.3;V;025.2;V;025.8;V;025.4;V;024.3;V;023.4;V;023.2;V
28;079;102;83;28079102_83_98;2021;07;09;021.4;V;019.6;V;018.3;V;016.8;V;016.4;V;015.4;V;014.9;V;015.2;V;016.4;V;017.8;V;019.2;V;020.0;V;022.1;V;024.6;V;025.9;V;027.9;V;028.7;V;029.8;V;030.0;V;029.6;V;029.8;V;029.0;V;027.5;V;027.1;V
28;079;102;83;28079102_83_98;2021;07;10;025.4;V;023.3;V;022.1;V;020.9;V;020.1;V;019.4;V;018.9;V;018.8;V;018.7;V;020.3;V;022.2;V;024.1;V;025.9;V;027.7;V;030.1;V;031.2;V;032.0;V;032.6;V;033.2;V;033.4;V;033.0;V;031.8;V;030.2;V;028.7;V
28;079;102;83;28079102_83_98;2021;07;11;027.4;V;026.5;V;024.9;V;023.2;V;022.1;V;021.2;V;020.6;V;020.3;V;020.7;V;022.8;V;024.1;V;027.0;V;029.3;V;031.3;V;032.6;V;034.8;V;035.2;V;035.1;V;034.6;V;033.9;V;033.2;V;032.0;V;030.7;V;029.0;V
28;079;102;83;28079102_83_98;2021;07;12;027.4;V;026.0;V;024.5;V;023.2;V;021.9;V;020.3;V;019.2;V;018.8;V;019.3;V;019.0;V;019.1;V;019.7;V;020.7;V;021.6;V;021.8;V;022.2;V;022.3;V;022.3;V;021.8;V;021.5;V;021.2;V;020.1;V;018.8;V;017.8;V
28;079;102;83;28079102_83_98;2021;07;13;016.8;V;015.9;V;014.5;V;013.4;V;012.7;V;011.7;V;011.3;V;011.7;V;012.8;V;013.6;V;015.6;V;016.6;V;017.5;V;018.9;V;019.4;V;021.1;V;021.6;V;022.7;V;022.8;V;023.3;V;023.1;V;021.4;V;019.4;V;018.2;V
28;079;102;83;28079102_83_98;2021;07;14;017.5;V;016.9;V;015.4;V;014.2;V;013.5;V;012.9;V;012.1;V;011.9;V;012.4;V;013.5;V;015.0;V;017.1;V;018.9;V;020.7;V;022.2;V;023.4;V;023.7;V;024.4;V;024.4;V;025.0;V;024.4;V;023.3;V;022.5;V;021.2;V
28;079;102;83;28079102_83_98;2021;07;15;019.1;V;017.3;V;016.0;V;014.8;V;014.0;V;013.5;V;013.5;V;013.7;V;014.6;V;015.4;V;017.6;V;019.1;V;020.7;V;022.3;V;023.8;V;026.0;V;026.6;V;027.7;V;027.9;V;027.6;V;027.7;V;026.6;V;025.5;V;025.1;V
28;079;102;83;28079102_83_98;2021;07;16;024.7;V;021.5;V;020.0;V;019.1;V;018.2;V;017.4;V;016.6;V;016.8;V;018.1;V;019.4;V;021.5;V;023.3;V;025.4;V;027.1;V;028.8;V;029.9;V;031.2;V;031.4;V;032.0;V;031.5;V;031.1;V;030.0;V;028.7;V;027.8;V
28;079;102;83;28079102_83_98;2021;07;17;026.2;V;024.8;V;023.0;V;021.6;V;020.6;V;019.8;V;018.6;V;018.3;V;019.5;V;021.6;V;023.9;V;026.8;V;028.4;V;030.1;V;031.5;V;032.5;V;033.2;V;033.5;V;033.7;V;033.7;V;033.3;V;032.0;V;029.8;V;028.1;V
28;079;102;83;28079102_83_98;2021;07;18;027.0;V;025.8;V;024.2;V;023.0;V;022.0;V;020.8;V;019.9;V;019.8;V;021.2;V;022.7;V;025.7;V;027.3;V;028.9;V;030.2;V;031.1;V;031.9;V;032.4;V;032.8;V;032.3;V;031.7;V;030.9;V;029.0;V;027.2;V;025.7;V
28;079;102;83;28079102_83_98;2021;07;19;024.4;V;023.5;V;022.5;V;020.8;V;020.1;V;019.7;V;018.9;V;018.6;V;019.1;V;020.1;V;022.6;V;025.0;V;026.7;V;027.9;V;029.5;V;031.3;V;032.4;V;032.2;V;032.3;V;031.9;V;031.2;V;030.0;V;028.7;V;027.8;V
28;079;102;83;28079102_83_98;2021;07;20;026.7;V;025.3;V;024.4;V;023.8;V;022.9;V;022.1;V;021.0;V;019.9;V;020.8;V;022.6;V;024.6;V;026.5;V;027.8;V;029.2;V;030.1;V;030.6;V;031.2;V;031.4;V;031.4;V;031.1;V;030.6;V;029.5;V;028.3;V;027.3;V
28;079;102;83;28079102_83_98;2021;07;21;026.3;V;025.4;V;023.3;V;021.9;V;021.4;V;020.7;V;019.5;V;019.0;V;019.8;V;021.7;V;023.4;V;025.1;V;027.1;V;028.6;V;030.2;V;031.6;V;032.0;V;032.4;V;032.4;V;032.5;V;032.1;V;031.2;V;030.1;V;029.3;V
28;079;102;83;28079102_83_98;2021;07;22;028.4;V;026.3;V;024.9;V;023.8;V;022.9;V;021.9;V;021.2;V;020.6;V;021.2;V;022.2;V;024.4;V;025.9;V;027.8;V;029.6;V;030.7;V;031.6;V;032.3;V;033.0;V;033.1;V;033.2;V;032.4;V;031.1;V;029.5;V;028.1;V
28;079;102;83;28079102_83_98;2021;07;23;027.5;V;026.7;V;025.2;V;023.5;V;022.8;V;021.8;V;020.5;V;019.7;V;020.1;V;021.3;V;023.6;V;025.4;V;026.7;V;027.4;V;028.1;V;028.5;V;028.9;V;029.4;V;029.3;V;028.8;V;028.0;V;026.3;V;025.1;V;023.6;V
